epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.61827,0.789437,0.417944,0.857
2,0.398203,0.858,0.361868,0.871
3,0.348648,0.875812,0.379656,0.8645
4,0.316688,0.888062,0.340449,0.8845
5,0.289922,0.894375,0.334233,0.8805
6,0.267668,0.904625,0.29919,0.893
7,0.251616,0.91,0.300245,0.8955
8,0.236051,0.915563,0.332058,0.88225
9,0.220389,0.919813,0.310467,0.8935
10,0.206837,0.92525,0.292198,0.89775
11,0.193374,0.9315,0.307568,0.891
12,0.187069,0.931938,0.340342,0.8895
13,0.171478,0.939,0.324776,0.895
14,0.1632,0.939438,0.320117,0.88975
15,0.155457,0.946125,0.325757,0.89125
16,0.145113,0.94975,0.33952,0.8925
17,0.136896,0.951625,0.314217,0.899
18,0.129776,0.953812,0.322921,0.89875
19,0.120618,0.957875,0.332098,0.89375
20,0.115558,0.956875,0.484335,0.87375
