epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.596647,0.787417,0.424929,0.848833
2,0.406608,0.853437,0.373007,0.866083
3,0.366447,0.868937,0.338676,0.879583
4,0.34381,0.877229,0.333788,0.879
5,0.32719,0.881938,0.369432,0.863333
6,0.31696,0.884854,0.348683,0.87275
7,0.305066,0.889042,0.317441,0.886583
8,0.299034,0.890646,0.322716,0.88475
9,0.293327,0.893229,0.317102,0.884083
10,0.288678,0.894917,0.328006,0.882083
11,0.283228,0.897417,0.297335,0.892833
12,0.279549,0.897521,0.306615,0.891833
13,0.276437,0.897729,0.308002,0.890583
14,0.272714,0.900271,0.318629,0.88725
15,0.269867,0.901812,0.315466,0.886667
16,0.267416,0.902417,0.298414,0.894417
17,0.264957,0.902729,0.299952,0.8915
18,0.263753,0.902083,0.303896,0.891833
19,0.260012,0.904729,0.297452,0.897417
20,0.258485,0.904521,0.330398,0.877083
