epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.803087,0.705896,0.591095,0.803667
2,0.595085,0.7865,0.560196,0.827667
3,0.538413,0.806625,0.519387,0.84625
4,0.514228,0.814,0.533286,0.81025
5,0.48973,0.8245,0.469138,0.8555
6,0.476623,0.828375,0.44716,0.863417
7,0.464708,0.833875,0.463437,0.84825
8,0.454356,0.834646,0.461271,0.862083
9,0.446683,0.838188,0.415066,0.864917
10,0.437293,0.842854,0.435586,0.864167
11,0.436914,0.841854,0.41848,0.855667
12,0.431559,0.843021,0.42622,0.866417
13,0.421105,0.847313,0.402797,0.86475
14,0.416935,0.849208,0.427736,0.863417
15,0.415596,0.849625,0.434147,0.8525
16,0.411776,0.850917,0.410975,0.85875
17,0.407743,0.851479,0.415589,0.860333
18,0.400994,0.854208,0.428991,0.862917
19,0.398552,0.857,0.381358,0.868083
20,0.395799,0.8545,0.391841,0.87025
